t,|deltaS|
1,5.423
2,4.68
3,5.919
4,6.508
5,5.819
6,5.089
7,5.195
8,5.641
9,5.661
10,5.217
11,5.439
12,6.688
13,5.251
14,5.598
15,5.494
16,6.432
17,5.209
18,5.96
19,4.828
20,4.883
21,5.967
22,5.51
23,5.753
24,5.898
25,5.428
26,5.938
27,6.045
28,5.271
29,5.82
30,4.791
31,4.73
32,5.776
33,5.334
34,5.026
35,6.113
36,5.314
37,5.281
38,6.368
39,5.208
40,4.869
41,5.788
42,5.323
43,5.572
44,4.524
45,5.748
46,5.498
47,5.542
48,5.685
49,6.129
50,4.65
51,6.267
52,5.65
53,5.093
54,5.006
55,5.621
56,5.088
57,5.264
58,5.017
59,6.353
60,5.296
61,6.773
62,5.104
63,5.354
64,5.249
65,5.84
66,6.579
67,5.681
68,5.31
69,5.535
70,5.429
71,5.038
72,5.209
73,5.567
74,5.469
75,5.61
76,5.105
77,4.687
78,4.605
79,4.608
80,4.744
81,4.666
82,4.551
83,4.749
84,4.655
85,4.735
86,4.746
87,4.621
88,4.481
89,4.656
90,4.763
91,4.859
92,4.557
93,4.711
94,4.792
95,4.645
96,4.83
97,4.434
98,4.599
99,4.75
100,4.53
101,4.788
102,4.499
103,4.804
104,4.71
105,4.541
106,4.568
107,4.616
108,4.493
109,4.517
110,4.745
111,4.558
112,4.55
113,4.667
114,4.56
115,4.728
116,4.586
117,4.628
118,4.554
119,4.461
120,4.676
121,4.622
122,4.632
123,4.678
124,4.307
125,4.693
126,4.667
127,4.671
128,4.589
129,4.675
130,4.578
131,4.701
132,4.581
133,4.798
134,4.907
135,4.541
136,4.867
137,4.551
138,4.721
139,4.349
140,4.732
141,4.691
142,4.766
143,4.637
144,4.631
145,4.694
146,4.536
147,4.697
148,4.535
149,4.652
150,4.561
151,4.859
152,4.667
153,4.66
154,4.5
155,4.68
156,4.556
157,4.604
158,4.582
159,4.482
160,4.445
161,4.554
162,4.788
163,4.43
164,4.813
165,4.584
166,4.626
167,4.556
168,4.609
169,4.634
170,4.766
171,4.844
172,4.708
173,4.606
174,4.536
175,4.606
176,4.451
177,4.327
178,4.587
179,4.669
180,4.57
181,4.616
182,4.401
183,4.716
184,4.42
185,4.764
186,4.778
187,4.414
188,4.557
189,4.609
190,4.797
191,4.567
192,4.541
193,4.525
194,4.601
195,4.602
196,4.22
197,4.571
198,4.725
199,4.503
200,4.507
201,4.512
202,4.473
203,4.642
204,4.858
205,4.602
206,4.451
207,4.725
208,4.43
209,4.497
210,4.587
211,4.65
212,4.826
213,4.654
214,4.671
215,4.61
216,4.748
217,4.64
218,4.525
219,4.864
220,4.638
221,4.618
222,4.567
223,4.716
224,4.688
225,4.579
226,4.44
227,4.62
228,4.798
229,4.805
230,4.734
231,4.487
232,4.571
233,4.677
234,4.698
235,4.454
236,4.66
237,4.5
238,4.642
239,4.662
240,4.638
241,4.441
242,4.73
243,4.499
244,4.548
245,4.636
246,0.06757
247,0.04583
248,0.00753
249,0.04802
250,0.01282
251,0.007632
252,0.009806
253,0.02281
254,0.01779
255,0.004886
256,0.009678
257,0.0134
258,0.01592
259,0.0246
260,0.02431
261,0.02688
262,0.03379
263,0.009557
264,0.06119
265,0.07041
266,0.05825
267,0.0007779
268,0.03905
269,0.04074
270,0.01416
271,0.02526
272,0.03791
273,0.02355
274,0.008759
275,0.02087
276,0.003144
277,0.03892
278,0.01992
279,0.004275
280,0.01232
281,0.04141
282,0.09624
283,0.007791
284,0.01751
285,0.05917
286,0.04495
287,0.02713
288,0.03858
289,0.005883
290,0.02703
291,0.02633
292,0.05378
293,0.0368
294,0.05198
295,0.0147
296,0.006418
297,0.01261
298,0.02927
299,0.001176
300,0.04522
301,0.009297
302,0.005824
303,0.008834
304,0.06577
305,0.007636
306,0.04631
307,0.06458
308,0.009471
309,0.03377
310,0.02765
311,0.007254
312,0.01629
313,0.005158
314,0.01433
315,0.06733
316,0.02027
317,0.02672
318,0.007342
319,0.02674
320,0.01707
321,0.009247
322,0.005655
323,0.0156
324,0.0501
325,0.06253
326,0.003935
327,0.03298
328,0.02181
329,0.028
330,0.01934
331,0.04634
332,0.04523
333,0.02865
334,0.03389
335,0.03297
336,0.04661
337,0.004774
338,0.005902
339,0.001026
340,0.01269
341,0.003167
342,0.0164
343,0.02381
344,0.03591
345,0.08101
346,0.02399
347,0.03931
348,0.0201
349,0.0689
350,0.06115
351,0.02557
352,0.0118
353,0.05106
354,0.01026
355,0.07601
356,0.00607
357,0.003191
358,0.02891
359,0.0161
360,0.006893
361,0.01929
362,0.02224
363,0.04917
364,0.04555
365,0.04181
366,0.01922
367,0.07636
368,0.007741
369,0.01705
370,0.02162
371,0.01228
372,0.02753
373,0.02097
374,0.02615
375,0.02005
376,0.03606
377,0.0271
378,0.01536
379,0.007513
380,0.02226
381,0.0757
382,0.09459
383,0.05383
384,0.0397
385,0.04664
386,0.05043
387,0.01441
388,0.0001528
389,0.0542
390,0.05317
391,0.01722
392,0.06702
393,0.01034
394,0.005101
395,0.02287
396,0.02095
397,0.03005
398,0.01421
399,0.003767
400,0.03387
401,0.01502
402,0.009303
403,0.04398
404,0.0185
405,0.009049
406,0.02111
407,0.01542
408,0.004565
409,0.02485
410,0.0346
411,0.03527
412,0.09579
413,0.05955
414,0.03025
415,0.05663
416,0.005705
417,0.01129
418,0.01774
419,0.01725
420,0.01509
421,0.0234
422,0.06626
423,0.04263
424,0.03852
425,0.005012
426,0.007906
427,0.003796
428,0.05475
429,0.02699
430,0.04452
431,0.07556
432,0.03905
433,0.08462
434,0.000894
435,0.01078
436,0.0267
437,0.02255
438,0.008931
439,0.03576
440,0.06382
441,0.05447
442,0.02653
443,0.04332
444,0.003525
445,0.04078
446,0.02103
447,0.01357
448,0.04699
449,0.0152
450,0.03057
451,0.02913
452,0.02429
453,0.05169
454,0.04608
455,0.03384
456,0.02876
457,0.02235
458,0.01048
459,0.0275
460,0.009024
461,0.03101
462,0.006933
463,0.009908
464,0.02181
465,0.03103
466,0.02872
467,0.009387
468,0.07101
469,0.04218
470,0.02293
471,0.04984
472,0.03705
473,0.002389
474,0.0272
475,0.01336
476,0.08195
477,0.09242
478,0.06907
479,0.02166
480,0.01351
481,0.06211
482,0.0007936
483,0.02217
484,0.0252
485,0.01212
486,0.01102
487,0.02202
488,0.01152
489,0.0341
490,0.01515
491,0.02809
492,0.05441
493,0.04631
494,0.02127
495,0.04011
496,0.0009426
497,0.001325
498,0.04133
499,0.06025
500,0.04588
501,0.03297
502,0.002125
503,0.005714
504,0.05174
505,0.04331
506,0.03805
507,0.004723
508,0.02316
509,0.02899
510,0.05041
511,0.003111
512,0.04288
513,0.007656
514,0.01713
515,0.03442
516,0.01759
517,0.04696
518,0.05174
519,0.01372
520,0.02939
521,0.03285
522,0.003204
523,0.02637
524,0.06608
525,0.03716
526,0.0223
527,0.02827
528,0.03129
529,0.03482
530,0.02483
531,0.0873
532,0.02129
533,0.0234
534,0.01672
535,0.04265
536,0.02508
537,0.001843
538,0.009452
539,0.008162
540,0.01449
541,0.0153
542,0.02598
543,0.02551
544,0.02643
545,0.002129
546,0.03992
547,0.01757
548,0.05789
549,0.01516
550,0.00714
551,0.01857
552,0.02082
553,0.01753
554,0.09941
555,0.06611
556,0.03435
557,0.04041
558,0.03757
559,0.01632
560,0.02847
561,0.009231
562,0.04136
563,0.0107
564,0.02779
565,0.006198
566,0.03772
567,0.04025
568,0.01384
569,0.007434
570,0.02097
571,0.01133
572,0.02724
573,0.05567
574,0.03439
575,0.04958
576,0.06484
577,0.01825
578,0.05941
579,0.03373
580,0.005588
581,0.01392
582,0.0225
583,0.01174
584,0.03318
585,0.03754
586,0.0623
587,0.06937
588,0.0134
589,0.01631
590,0.04659
591,0.05998
592,0.02215
593,0.03101
594,0.03801
595,0.004745
596,0.03638
597,0.03565
598,0.02204
599,0.01075
600,0.03459
601,0.03122
602,0.01608
603,0.0006692
604,0.02052
605,0.00214
606,0.007189
607,0.04297
608,0.003605
609,0.007767
610,0.01209
611,0.03968
612,0.05263
613,0.01536
614,0.03359
615,0.01466
616,0.02647
617,0.005347
618,0.07014
619,0.03421
620,0.0424
621,0.03155
622,0.00147
623,0.02827
624,0.06422
625,0.0187
626,0.0267
627,0.03896
628,0.06527
629,0.009746
630,0.07442
631,0.07886
632,0.03258
633,0.01548
634,0.02552
635,0.01408
636,0.01687
637,0.06102
638,0.06674
639,0.03423
640,0.009724
641,0.01507
642,0.05058
643,0.001833
644,0.01419
645,0.003916
646,0.004559
647,0.07036
648,0.01595
649,0.03414
650,0.0622
651,0.03747
652,0.04238
653,0.00702
654,0.005184
655,0.002976
656,0.04613
657,0.001224
658,0.0322
659,0.0337
660,0.06107
661,0.007625
662,0.002981
663,0.004648
664,0.007353
665,0.03286
666,0.0406
667,0.005667
668,0.03118
669,0.008226
670,0.01925
671,0.0213
672,0.01481
673,0.03665
674,0.009796
675,0.04494
676,0.01218
677,0.04182
678,0.03939
679,0.04251
680,0.008789
681,0.01294
682,0.01846
683,0.06413
684,0.02693
685,0.00555
686,0.06681
687,0.03238
688,0.0715
689,0.03076
690,0.02674
691,0.02217
692,0.0457
693,0.01702
694,0.02283
695,0.0117
696,0.002381
697,0.03505
698,0.02476
699,0.02939
700,0.03072
701,0.06673
702,0.04993
703,0.01781
704,0.005601
705,0.05032
706,0.06751
707,0.006242
708,0.0189
709,0.01708
710,0.008775
711,0.04551
712,0.007325
713,0.03666
714,0.002298
715,0.008753
716,0.01766
717,0.0403
718,0.02966
719,0.03429
720,0.03737
721,0.02542
722,0.028
723,0.02875
724,0.02521
725,0.03285
726,0.00976
727,0.01091
728,0.002887
729,0.04704
730,0.01414
731,0.05821
732,0.04596
733,0.01103
734,0.01662
735,0.01211
736,0.01068
737,0.01604
738,0.03744
739,0.02056
740,0.01954
741,0.009397
742,0.02539
743,0.02726
744,0.02248
745,0.0421
746,0.06785
747,0.03361
748,0.02997
749,0.01422
750,0.03514
751,0.01992
752,0.03433
753,0.0119
754,0.01225
755,0.007658
756,0.0474
757,0.03198
758,0.02019
759,0.02739
760,0.08473
761,0.08407
762,0.06189
763,0.01094
764,0.04113
765,0.02154
766,0.01161
767,0.06658
768,0.01357
769,0.01023
770,0.006936
771,0.02547
772,0.02323
773,0.01175
774,0.05884
775,0.007443
776,0.05612
777,0.01815
778,0.01948
779,0.03304
780,0.04515
781,0.01555
782,0.02984
783,0.04417
784,0.02009
785,0.0003744
786,0.07024
787,0.007993
788,0.04638
789,0.04395
790,0.06056
791,0.002802
792,0.02114
793,0.008372
794,0.009146
795,0.008565
796,0.02368
797,0.005468
798,0.01775
799,0.008288
800,0.04257
801,0.02801
802,0.01138
803,0.005464
804,0.03437
805,0.02767
806,0.02121
807,0.0003813
808,0.0408
809,0.03557
810,0.03294
811,0.02441
812,0.007429
813,0.04596
814,0.0103
815,0.009703
816,0.03227
817,0.007029
818,0.05199
819,0.0319
820,0.05778
821,0.03834
822,0.006814
823,0.05082
824,0.0005252
825,0.03084
826,0.01384
827,0.05857
828,0.0326
829,0.01968
830,0.06764
831,0.05531
832,0.008834
833,0.004558
834,0.01207
835,0.03293
836,0.01065
837,0.001595
838,0.01518
839,0.02228
840,0.06002
841,0.03863
842,0.06774
843,0.005683
844,0.0778
845,0.001191
846,0.008018
847,0.04677
848,0.04404
849,0.07492
850,0.06419
851,0.02277
852,0.02611
853,0.02144
854,0.02948
855,0.02007
856,0.01707
857,0.009253
858,0.0003106
859,0.02779
860,0.03624
861,0.04688
862,0.01743
863,0.01386
864,0.002853
865,0.03987
866,0.01884
867,0.03111
868,0.02118
869,0.03237
870,0.1005
871,0.006061
872,0.02484
873,0.03101
874,0.01666
875,0.03329
876,0.05628
877,0.03374
878,0.005334
879,0.01761
880,0.0007884
881,0.03903
882,0.001856
883,0.07453
884,0.007928
885,0.00555
886,0.001894
887,0.04008
888,0.05501
889,0.004935
890,0.04529
891,0.02821
892,0.01897
893,0.01246
894,0.03165
895,0.0422
896,0.002509
897,0.02811
898,0.03584
899,0.005629
900,0.01019
901,0.02561
902,0.008889
903,0.0126
904,0.01545
905,0.1041
906,0.09381
907,0.02427
908,0.0249
909,0.01463
910,0.01628
911,0.01488
912,0.04143
913,0.02624
914,0.05556
915,0.00493
916,0.03685
917,0.0345
918,0.04745
919,0.01527
920,0.001045
921,0.04742
922,0.05836
923,0.03171
924,0.04097
925,0.05682
926,0.03536
927,0.03022
928,0.009031
929,0.05978
930,0.01657
931,0.01089
932,0.001397
933,0.04946
934,0.04805
935,0.00674
936,0.01183
937,0.01359
938,0.01684
939,0.01691
940,0.04239
941,0.005671
942,0.03172
943,0.00946
944,0.003542
945,0.03808
946,0.01271
947,0.009109
948,0.002029
949,0.004447
950,0.04423
951,0.003976
952,0.03739
953,0.01922
954,0.06682
955,0.0584
956,0.01973
957,0.08214
958,0.06541
959,0.02305
960,0.004794
961,0.02107
962,0.05787
963,0.03225
964,0.008701
965,0.01054
966,0.01876
967,0.0156
968,0.05378
969,0.07299
970,0.02253
971,0.02193
972,0.01526
973,0.01533
974,0.007075
975,0.01527
976,0.06259
977,0.05469
978,0.00032
979,0.003134
980,0.02268
981,0.004997
982,0.02505
983,0.006153
984,0.02822
985,0.04115
986,0.02223
987,0.03626
988,0.04579
989,0.01824
990,0.0533
991,0.02893
992,0.04136
993,0.01906
994,0.03572
995,0.01782
996,0.001038
997,0.002252
998,0.02566
999,0.0325
1000,0.06138
